lookupVariable,lookupValue,newVariable,newValue
Subplot,111,SubplotID,A01W
Subplot,112,SubplotID,A01E
Subplot,113,SubplotID,A01E
Subplot,114,SubplotID,A01E
Subplot,115,SubplotID,A01E
Subplot,121,SubplotID,A02W
Subplot,120,SubplotID,A02W
Subplot,119,SubplotID,A02W
Subplot,122,SubplotID,A02E
Subplot,123,SubplotID,A02E
Subplot,124,SubplotID,A02E
Subplot,131,SubplotID,A03W
Subplot,130,SubplotID,A03W
Subplot,129,SubplotID,A03W
Subplot,132,SubplotID,A03E
Subplot,133,SubplotID,A03E
Subplot,134,SubplotID,A03E
Subplot,135,SubplotID,A03E
Subplot,141,SubplotID,A04W
Subplot,142,SubplotID,A04E
Subplot,143,SubplotID,A04E
Subplot,144,SubplotID,A04E
Subplot,145,SubplotID,A04E
Subplot,211,SubplotID,B01W
Subplot,210,SubplotID,B01W
Subplot,209,SubplotID,B01W
Subplot,208,SubplotID,B01W
Subplot,207,SubplotID,B01W
Subplot,212,SubplotID,B01E
Subplot,213,SubplotID,B01E
Subplot,221,SubplotID,B02W
Subplot,220,SubplotID,B02W
Subplot,219,SubplotID,B02W
Subplot,222,SubplotID,B02E
Subplot,223,SubplotID,B02E
Subplot,224,SubplotID,B02E
Subplot,231,SubplotID,B03W
Subplot,230,SubplotID,B03W
Subplot,229,SubplotID,B03W
Subplot,232,SubplotID,B03E
Subplot,233,SubplotID,B03E
Subplot,234,SubplotID,B03E
Subplot,235,SubplotID,B03E
Subplot,241,SubplotID,B04W
Subplot,240,SubplotID,B04W
Subplot,239,SubplotID,B04W
Subplot,242,SubplotID,B04E
Subplot,243,SubplotID,B04E
Subplot,244,SubplotID,B04E
Subplot,245,SubplotID,B04E
Subplot,311,SubplotID,C01W
Subplot,310,SubplotID,C01W
Subplot,312,SubplotID,C01E
Subplot,313,SubplotID,C01E
Subplot,314,SubplotID,C01E
Subplot,321,SubplotID,C02W
Subplot,320,SubplotID,C02W
Subplot,322,SubplotID,C02E
Subplot,331,SubplotID,C03W
Subplot,330,SubplotID,C03W
Subplot,332,SubplotID,C03E
Subplot,333,SubplotID,C03E
Subplot,334,SubplotID,C03E
Subplot,335,SubplotID,C03E
Subplot,336,SubplotID,C03E
Subplot,341,SubplotID,C04W
Subplot,340,SubplotID,C04W
Subplot,342,SubplotID,C04E
Subplot,343,SubplotID,C04E
Subplot,411,SubplotID,D01W
Subplot,410,SubplotID,D01W
Subplot,412,SubplotID,D01E
Subplot,413,SubplotID,D01E
Subplot,422,SubplotID,D02W
Subplot,423,SubplotID,D02W
Subplot,424,SubplotID,D02W
Subplot,421,SubplotID,D02E
Subplot,420,SubplotID,D02E
Subplot,419,SubplotID,D02E
Subplot,432,SubplotID,D03W
Subplot,433,SubplotID,D03W
Subplot,431,SubplotID,D03E
Subplot,428,SubplotID,D03E
Subplot,430,SubplotID,D03E
Subplot,429,SubplotID,D03E
Subplot,443,SubplotID,D04W
Subplot,445,SubplotID,D04W
Subplot,441,SubplotID,D04E
