"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0.814520064954918
"4",1,3,0.0706898690105277
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0.0140773297990168
"9",1,8,0.442814893289902
"10",1,9,0.0239279589369474
"11",1,10,0.969061237201903
"12",1,11,1.08131897373296
"13",1,12,0
"14",1,13,0.0490136707043942
"15",1,14,4.53457600236943
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",1,29,0
"31",1,30,0
"32",1,31,0
"33",1,32,0
"34",1,33,0
"35",1,34,0
"36",1,35,0
"37",1,36,0
"38",1,37,0
"39",1,38,0
"40",1,39,0
"41",1,40,0
"42",1,41,0
"43",1,42,0
"44",1,43,0
"45",1,44,0
"46",1,45,0
"47",1,46,0
"48",1,47,0
"49",1,48,0
"50",1,49,0
"51",1,50,0
"52",1,51,0
"53",1,52,0
"54",1,53,0
"55",1,54,0
"56",1,55,0
"57",1,56,0
"58",1,57,0
"59",1,58,0
"60",1,59,0
"61",1,60,0
"62",1,61,0
"63",1,62,0
"64",1,63,0
"65",1,64,0
"66",2,0,0
"67",2,1,0
"68",2,2,1.00790226051327
"69",2,3,0.0407994296261633
"70",2,4,0.178366254612298
"71",2,5,0
"72",2,6,0
"73",2,7,0
"74",2,8,0.200629483712602
"75",2,9,0.252715945372628
"76",2,10,3.53307985150104
"77",2,11,0
"78",2,12,2.786506774662
"79",2,13,0
"80",2,14,0
"81",2,15,0
"82",2,16,0
"83",2,17,0
"84",2,18,0
"85",2,19,0
"86",2,20,0
"87",2,21,0
"88",2,22,0
"89",2,23,0
"90",2,24,0
"91",2,25,0
"92",2,26,0
"93",2,27,0
"94",2,28,0
"95",2,29,0
"96",2,30,0
"97",2,31,0
"98",2,32,0
"99",2,33,0
"100",2,34,0
"101",2,35,0
"102",2,36,0
"103",2,37,0
"104",2,38,0
"105",2,39,0
"106",2,40,0
"107",2,41,0
"108",2,42,0
"109",2,43,0
"110",2,44,0
"111",2,45,0
"112",2,46,0
"113",2,47,0
"114",2,48,0
"115",2,49,0
"116",2,50,0
"117",2,51,0
"118",2,52,0
"119",2,53,0
"120",2,54,0
"121",2,55,0
"122",2,56,0
"123",2,57,0
"124",2,58,0
"125",2,59,0
"126",2,60,0
"127",2,61,0
"128",2,62,0
"129",2,63,0
"130",2,64,0
"131",3,0,0
"132",3,1,0
"133",3,2,0
"134",3,3,0
"135",3,4,1.27392870908093
"136",3,5,0
"137",3,6,0
"138",3,7,0
"139",3,8,0.374216558292524
"140",3,9,0.099525680396948
"141",3,10,0.330425258917867
"142",3,11,1.43715082493193
"143",3,12,1.69591759396399
"144",3,13,0.0875825987493142
"145",3,14,0.692698735562758
"146",3,15,0.09554465318107
"147",3,16,0
"148",3,17,0
"149",3,18,0
"150",3,19,0
"151",3,20,0
"152",3,21,0
"153",3,22,0
"154",3,23,0
"155",3,24,0
"156",3,25,0
"157",3,26,0
"158",3,27,0
"159",3,28,0
"160",3,29,0
"161",3,30,0
"162",3,31,0
"163",3,32,0
"164",3,33,0
"165",3,34,0
"166",3,35,0
"167",3,36,0
"168",3,37,0
"169",3,38,0
"170",3,39,0
"171",3,40,0
"172",3,41,0
"173",3,42,0
"174",3,43,0
"175",3,44,0
"176",3,45,0
"177",3,46,0
"178",3,47,0
"179",3,48,0
"180",3,49,0
"181",3,50,0
"182",3,51,0
"183",3,52,0
"184",3,53,0
"185",3,54,0
"186",3,55,0
"187",3,56,0
"188",3,57,0
"189",3,58,0
"190",3,59,0
"191",3,60,0
"192",3,61,0
"193",3,62,0
"194",3,63,0
"195",3,64,0.00398102721587792
"196",4,0,0
"197",4,1,0
"198",4,2,0
"199",4,3,0
"200",4,4,0
"201",4,5,0
"202",4,6,0
"203",4,7,0
"204",4,8,0
"205",4,9,0
"206",4,10,0
"207",4,11,3.89592714845239
"208",4,12,0.96350886467102
"209",4,13,0.00418916897683052
"210",4,14,0.113107562374424
"211",4,15,0.255539307586662
"212",4,16,0.423106066659883
"213",4,17,0.511078615173324
"214",4,18,0.188512603957373
"215",4,19,0.108918393397594
"216",4,20,0
"217",4,21,0
"218",4,22,0
"219",4,23,0
"220",4,24,0
"221",4,25,0
"222",4,26,0
"223",4,27,0
"224",4,28,0
"225",4,29,0
"226",4,30,0
"227",4,31,0
"228",4,32,0
"229",4,33,0
"230",4,34,0
"231",4,35,0
"232",4,36,0
"233",4,37,0
"234",4,38,0
"235",4,39,0
"236",4,40,0
"237",4,41,0
"238",4,42,0
"239",4,43,0
"240",4,44,0
"241",4,45,0
"242",4,46,0
"243",4,47,0
"244",4,48,0
"245",4,49,0
"246",4,50,0
"247",4,51,0
"248",4,52,0
"249",4,53,0
"250",4,54,0
"251",4,55,0
"252",4,56,0
"253",4,57,0
"254",4,58,0
"255",4,59,0
"256",4,60,0
"257",4,61,0
"258",4,62,0
"259",4,63,0
"260",4,64,0
"261",5,0,0
"262",5,1,0
"263",5,2,1.03949341227393
"264",5,3,0.025561313416572
"265",5,4,0
"266",5,5,0
"267",5,6,0
"268",5,7,0
"269",5,8,0.53252736284525
"270",5,9,0.421761671373438
"271",5,10,0
"272",5,11,0.856303999455163
"273",5,12,0
"274",5,13,0
"275",5,14,0.281174447582292
"276",5,15,1.54219924279985
"277",5,16,0.379159482345818
"278",5,17,1.05227406898221
"279",5,18,0.434542328081724
"280",5,19,0.029821532319334
"281",5,20,0
"282",5,21,0
"283",5,22,0
"284",5,23,0
"285",5,24,0
"286",5,25,0
"287",5,26,0
"288",5,27,0
"289",5,28,0
"290",5,29,0
"291",5,30,0
"292",5,31,0
"293",5,32,0
"294",5,33,0
"295",5,34,0
"296",5,35,0
"297",5,36,0
"298",5,37,0
"299",5,38,0
"300",5,39,0
"301",5,40,0
"302",5,41,0
"303",5,42,0
"304",5,43,0
"305",5,44,0
"306",5,45,0
"307",5,46,0
"308",5,47,0
"309",5,48,0
"310",5,49,0
"311",5,50,0
"312",5,51,0
"313",5,52,0
"314",5,53,0
"315",5,54,0
"316",5,55,0
"317",5,56,0
"318",5,57,0
"319",5,58,0
"320",5,59,0
"321",5,60,0
"322",5,61,0
"323",5,62,0
"324",5,63,0
"325",5,64,0
"326",6,0,0
"327",6,1,0
"328",6,2,0
"329",6,3,0
"330",6,4,0
"331",6,5,0
"332",6,6,0
"333",6,7,0
"334",6,8,0.0572468614424996
"335",6,9,1.71417234297568
"336",6,10,0.681589541080178
"337",6,11,0
"338",6,12,0
"339",6,13,0
"340",6,14,0
"341",6,15,0
"342",6,16,0.491027086243499
"343",6,17,5.05596416825814
"344",6,18,0
"345",6,19,0
"346",6,20,0
"347",6,21,0
"348",6,22,0
"349",6,23,0
"350",6,24,0
"351",6,25,0
"352",6,26,0
"353",6,27,0
"354",6,28,0
"355",6,29,0
"356",6,30,0
"357",6,31,0
"358",6,32,0
"359",6,33,0
"360",6,34,0
"361",6,35,0
"362",6,36,0
"363",6,37,0
"364",6,38,0
"365",6,39,0
"366",6,40,0
"367",6,41,0
"368",6,42,0
"369",6,43,0
"370",6,44,0
"371",6,45,0
"372",6,46,0
"373",6,47,0
"374",6,48,0
"375",6,49,0
"376",6,50,0
"377",6,51,0
"378",6,52,0
"379",6,53,0
"380",6,54,0
"381",6,55,0
"382",6,56,0
"383",6,57,0
"384",6,58,0
"385",6,59,0
"386",6,60,0
"387",6,61,0
"388",6,62,0
"389",6,63,0
"390",6,64,0
"391",7,0,0
"392",7,1,0
"393",7,2,0
"394",7,3,0
"395",7,4,0.395975356123643
"396",7,5,0
"397",7,6,0.0230407104844058
"398",7,7,0.235354175504951
"399",7,8,0.0501791689547215
"400",7,9,0.0963244742825719
"401",7,10,7.19912611464971
"402",7,11,0
"403",7,12,0
"404",7,13,0
"405",7,14,0
"406",7,15,0
"407",7,16,0
"408",7,17,0
"409",7,18,0
"410",7,19,0
"411",7,20,0
"412",7,21,0
"413",7,22,0
"414",7,23,0
"415",7,24,0
"416",7,25,0
"417",7,26,0
"418",7,27,0
"419",7,28,0
"420",7,29,0
"421",7,30,0
"422",7,31,0
"423",7,32,0
"424",7,33,0
"425",7,34,0
"426",7,35,0
"427",7,36,0
"428",7,37,0
"429",7,38,0
"430",7,39,0
"431",7,40,0
"432",7,41,0
"433",7,42,0
"434",7,43,0
"435",7,44,0
"436",7,45,0
"437",7,46,0
"438",7,47,0
"439",7,48,0
"440",7,49,0
"441",7,50,0
"442",7,51,0
"443",7,52,0
"444",7,53,0
"445",7,54,0
"446",7,55,0
"447",7,56,0
"448",7,57,0
"449",7,58,0
"450",7,59,0
"451",7,60,0
"452",7,61,0
"453",7,62,0
"454",7,63,0
"455",7,64,0
"456",8,0,0
"457",8,1,0
"458",8,2,0
"459",8,3,0.0385405379939731
"460",8,4,0.038479184325691
"461",8,5,0.00296016222967863
"462",8,6,0.307110906113469
"463",8,7,0.636594491267143
"464",8,8,2.33023502884001
"465",8,9,0
"466",8,10,1.1935091724892
"467",8,11,3.45257051674084
"468",8,12,0
"469",8,13,0
"470",8,14,0
"471",8,15,0
"472",8,16,0
"473",8,17,0
"474",8,18,0
"475",8,19,0
"476",8,20,0
"477",8,21,0
"478",8,22,0
"479",8,23,0
"480",8,24,0
"481",8,25,0
"482",8,26,0
"483",8,27,0
"484",8,28,0
"485",8,29,0
"486",8,30,0
"487",8,31,0
"488",8,32,0
"489",8,33,0
"490",8,34,0
"491",8,35,0
"492",8,36,0
"493",8,37,0
"494",8,38,0
"495",8,39,0
"496",8,40,0
"497",8,41,0
"498",8,42,0
"499",8,43,0
"500",8,44,0
"501",8,45,0
"502",8,46,0
"503",8,47,0
"504",8,48,0
"505",8,49,0
"506",8,50,0
"507",8,51,0
"508",8,52,0
"509",8,53,0
"510",8,54,0
"511",8,55,0
"512",8,56,0
"513",8,57,0
"514",8,58,0
"515",8,59,0
"516",8,60,0
"517",8,61,0
"518",8,62,0
"519",8,63,0
"520",8,64,0
"521",9,0,0
"522",9,1,0
"523",9,2,0
"524",9,3,0
"525",9,4,0
"526",9,5,0
"527",9,6,0.295673211472794
"528",9,7,1.3005486015132
"529",9,8,0.295673211472794
"530",9,9,0.00620293450642225
"531",9,10,0
"532",9,11,0
"533",9,12,0
"534",9,13,0
"535",9,14,0
"536",9,15,0
"537",9,16,0.320484949498483
"538",9,17,0.0144735138483186
"539",9,18,0
"540",9,19,0
"541",9,20,0
"542",9,21,0
"543",9,22,0
"544",9,23,0
"545",9,24,0
"546",9,25,0
"547",9,26,0
"548",9,27,0
"549",9,28,0
"550",9,29,0
"551",9,30,0.00206764483547408
"552",9,31,0
"553",9,32,0
"554",9,33,0
"555",9,34,0
"556",9,35,0
"557",9,36,0
"558",9,37,0
"559",9,38,0
"560",9,39,0
"561",9,40,0
"562",9,41,0
"563",9,42,0
"564",9,43,0
"565",9,44,0
"566",9,45,0
"567",9,46,0
"568",9,47,0
"569",9,48,0
"570",9,49,0
"571",9,50,0
"572",9,51,0
"573",9,52,0
"574",9,53,0
"575",9,54,0
"576",9,55,0
"577",9,56,0
"578",9,57,0
"579",9,58,0
"580",9,59,0
"581",9,60,0
"582",9,61,0
"583",9,62,0
"584",9,63,0
"585",9,64,0
"586",10,0,0
"587",10,1,0
"588",10,2,0
"589",10,3,0
"590",10,4,0
"591",10,5,0
"592",10,6,0.590878354698605
"593",10,7,0.502096172724244
"594",10,8,1.06743661085792
"595",10,9,1.17852439883078
"596",10,10,0
"597",10,11,0
"598",10,12,0
"599",10,13,0
"600",10,14,0
"601",10,15,0
"602",10,16,2.05604171530664
"603",10,17,0
"604",10,18,0
"605",10,19,2.60502274758181
"606",10,20,0
"607",10,21,0
"608",10,22,0
"609",10,23,0
"610",10,24,0
"611",10,25,0
"612",10,26,0
"613",10,27,0
"614",10,28,0
"615",10,29,0
"616",10,30,0
"617",10,31,0
"618",10,32,0
"619",10,33,0
"620",10,34,0
"621",10,35,0
"622",10,36,0
"623",10,37,0
"624",10,38,0
"625",10,39,0
"626",10,40,0
"627",10,41,0
"628",10,42,0
"629",10,43,0
"630",10,44,0
"631",10,45,0
"632",10,46,0
"633",10,47,0
"634",10,48,0
"635",10,49,0
"636",10,50,0
"637",10,51,0
"638",10,52,0
"639",10,53,0
"640",10,54,0
"641",10,55,0
"642",10,56,0
"643",10,57,0
"644",10,58,0
"645",10,59,0
"646",10,60,0
"647",10,61,0
"648",10,62,0
"649",10,63,0
"650",10,64,0
"651",11,0,0
"652",11,1,0
"653",11,2,0
"654",11,3,0.383378490821049
"655",11,4,0.0597682729634798
"656",11,5,0.398820798224657
"657",11,6,0.674059361189577
"658",11,7,1.72679935847399
"659",11,8,1.87986835167803
"660",11,9,0
"661",11,10,2.87730536664921
"662",11,11,0
"663",11,12,0
"664",11,13,0
"665",11,14,0
"666",11,15,0
"667",11,16,0
"668",11,17,0
"669",11,18,0
"670",11,19,0
"671",11,20,0
"672",11,21,0
"673",11,22,0
"674",11,23,0
"675",11,24,0
"676",11,25,0
"677",11,26,0
"678",11,27,0
"679",11,28,0
"680",11,29,0
"681",11,30,0
"682",11,31,0
"683",11,32,0
"684",11,33,0
"685",11,34,0
"686",11,35,0
"687",11,36,0
"688",11,37,0
"689",11,38,0
"690",11,39,0
"691",11,40,0
"692",11,41,0
"693",11,42,0
"694",11,43,0
"695",11,44,0
"696",11,45,0
"697",11,46,0
"698",11,47,0
"699",11,48,0
"700",11,49,0
"701",11,50,0
"702",11,51,0
"703",11,52,0
"704",11,53,0
"705",11,54,0
"706",11,55,0
"707",11,56,0
"708",11,57,0
"709",11,58,0
"710",11,59,0
"711",11,60,0
"712",11,61,0
"713",11,62,0
"714",11,63,0
"715",11,64,0
"716",12,0,0
"717",12,1,0
"718",12,2,0
"719",12,3,0
"720",12,4,0.836426863219309
"721",12,5,0.130656232104287
"722",12,6,0.990070190267005
"723",12,7,0
"724",12,8,1.62371503171689
"725",12,9,0
"726",12,10,0
"727",12,11,0
"728",12,12,0.398140476790288
"729",12,13,0
"730",12,14,0.024428123205265
"731",12,15,0
"732",12,16,0.0768462398422683
"733",12,17,1.47304389423084
"734",12,18,0
"735",12,19,2.44667294862385
"736",12,20,0
"737",12,21,0
"738",12,22,0
"739",12,23,0
"740",12,24,0
"741",12,25,0
"742",12,26,0
"743",12,27,0
"744",12,28,0
"745",12,29,0
"746",12,30,0
"747",12,31,0
"748",12,32,0
"749",12,33,0
"750",12,34,0
"751",12,35,0
"752",12,36,0
"753",12,37,0
"754",12,38,0
"755",12,39,0
"756",12,40,0
"757",12,41,0
"758",12,42,0
"759",12,43,0
"760",12,44,0
"761",12,45,0
"762",12,46,0
"763",12,47,0
"764",12,48,0
"765",12,49,0
"766",12,50,0
"767",12,51,0
"768",12,52,0
"769",12,53,0
"770",12,54,0
"771",12,55,0
"772",12,56,0
"773",12,57,0
"774",12,58,0
"775",12,59,0
"776",12,60,0
"777",12,61,0
"778",12,62,0
"779",12,63,0
"780",12,64,0
"781",13,0,0
"782",13,1,0
"783",13,2,0
"784",13,3,0.0683868132776436
"785",13,4,0.141800341983796
"786",13,5,0
"787",13,6,0.752648459813678
"788",13,7,0.703139833374328
"789",13,8,0
"790",13,9,0.0362118798891842
"791",13,10,0.58616782890691
"792",13,11,0.00988450440055838
"793",13,12,2.4172910795671
"794",13,13,0
"795",13,14,0.480268798233465
"796",13,15,0
"797",13,16,1.3311565663225
"798",13,17,0
"799",13,18,1.47304389423084
"800",13,19,0
"801",13,20,0
"802",13,21,0
"803",13,22,0
"804",13,23,0
"805",13,24,0
"806",13,25,0
"807",13,26,0
"808",13,27,0
"809",13,28,0
"810",13,29,0
"811",13,30,0
"812",13,31,0
"813",13,32,0
"814",13,33,0
"815",13,34,0
"816",13,35,0
"817",13,36,0
"818",13,37,0
"819",13,38,0
"820",13,39,0
"821",13,40,0
"822",13,41,0
"823",13,42,0
"824",13,43,0
"825",13,44,0
"826",13,45,0
"827",13,46,0
"828",13,47,0
"829",13,48,0
"830",13,49,0
"831",13,50,0
"832",13,51,0
"833",13,52,0
"834",13,53,0
"835",13,54,0
"836",13,55,0
"837",13,56,0
"838",13,57,0
"839",13,58,0
"840",13,59,0
"841",13,60,0
"842",13,61,0
"843",13,62,0
"844",13,63,0
"845",13,64,0
"846",14,0,0
"847",14,1,0
"848",14,2,0.0647395217311252
"849",14,3,0.0140497941681594
"850",14,4,0.362952607105573
"851",14,5,0.0414673610917558
"852",14,6,0.194990976514353
"853",14,7,0.531679789913071
"854",14,8,0
"855",14,9,0
"856",14,10,1.73906643366407
"857",14,11,0.0372872139123004
"858",14,12,1.51168730049139
"859",14,13,0
"860",14,14,0
"861",14,15,0
"862",14,16,0.8616754400413
"863",14,17,2.64040356136691
"864",14,18,0
"865",14,19,0
"866",14,20,0
"867",14,21,0
"868",14,22,0
"869",14,23,0
"870",14,24,0
"871",14,25,0
"872",14,26,0
"873",14,27,0
"874",14,28,0
"875",14,29,0
"876",14,30,0
"877",14,31,0
"878",14,32,0
"879",14,33,0
"880",14,34,0
"881",14,35,0
"882",14,36,0
"883",14,37,0
"884",14,38,0
"885",14,39,0
"886",14,40,0
"887",14,41,0
"888",14,42,0
"889",14,43,0
"890",14,44,0
"891",14,45,0
"892",14,46,0
"893",14,47,0
"894",14,48,0
"895",14,49,0
"896",14,50,0
"897",14,51,0
"898",14,52,0
"899",14,53,0
"900",14,54,0
"901",14,55,0
"902",14,56,0
"903",14,57,0
"904",14,58,0
"905",14,59,0
"906",14,60,0
"907",14,61,0
"908",14,62,0
"909",14,63,0
"910",14,64,0
"911",15,0,0
"912",15,1,0
"913",15,2,0.202425861921513
"914",15,3,0.480629110771441
"915",15,4,0.230598312244632
"916",15,5,0.101806614833498
"917",15,6,0.440496637593196
"918",15,7,0
"919",15,8,0
"920",15,9,0.639909485736978
"921",15,10,5.90413397689874
"922",15,11,0
"923",15,12,0
"924",15,13,0
"925",15,14,0
"926",15,15,0
"927",15,16,0
"928",15,17,0
"929",15,18,0
"930",15,19,0
"931",15,20,0
"932",15,21,0
"933",15,22,0
"934",15,23,0
"935",15,24,0
"936",15,25,0
"937",15,26,0
"938",15,27,0
"939",15,28,0
"940",15,29,0
"941",15,30,0
"942",15,31,0
"943",15,32,0
"944",15,33,0
"945",15,34,0
"946",15,35,0
"947",15,36,0
"948",15,37,0
"949",15,38,0
"950",15,39,0
"951",15,40,0
"952",15,41,0
"953",15,42,0
"954",15,43,0
"955",15,44,0
"956",15,45,0
"957",15,46,0
"958",15,47,0
"959",15,48,0
"960",15,49,0
"961",15,50,0
"962",15,51,0
"963",15,52,0
"964",15,53,0
"965",15,54,0
"966",15,55,0
"967",15,56,0
"968",15,57,0
"969",15,58,0
"970",15,59,0
"971",15,60,0
"972",15,61,0
"973",15,62,0
"974",15,63,0
"975",15,64,0
"976",16,0,0
"977",16,1,0
"978",16,2,0
"979",16,3,0
"980",16,4,0.00114255555160097
"981",16,5,0.182925620173638
"982",16,6,0.202867886472018
"983",16,7,1.71674575695547
"984",16,8,0.748998527570125
"985",16,9,0.172196757638101
"986",16,10,4.97512289563904
"987",16,11,0
"988",16,12,0
"989",16,13,0
"990",16,14,0
"991",16,15,0
"992",16,16,0
"993",16,17,0
"994",16,18,0
"995",16,19,0
"996",16,20,0
"997",16,21,0
"998",16,22,0
"999",16,23,0
"1000",16,24,0
"1001",16,25,0
"1002",16,26,0
"1003",16,27,0
"1004",16,28,0
"1005",16,29,0
"1006",16,30,0
"1007",16,31,0
"1008",16,32,0
"1009",16,33,0
"1010",16,34,0
"1011",16,35,0
"1012",16,36,0
"1013",16,37,0
"1014",16,38,0
"1015",16,39,0
"1016",16,40,0
"1017",16,41,0
"1018",16,42,0
"1019",16,43,0
"1020",16,44,0
"1021",16,45,0
"1022",16,46,0
"1023",16,47,0
"1024",16,48,0
"1025",16,49,0
"1026",16,50,0
"1027",16,51,0
"1028",16,52,0
"1029",16,53,0
"1030",16,54,0
"1031",16,55,0
"1032",16,56,0
"1033",16,57,0
"1034",16,58,0
"1035",16,59,0
"1036",16,60,0
"1037",16,61,0
"1038",16,62,0
"1039",16,63,0
"1040",16,64,0
"1041",17,0,0
"1042",17,1,0
"1043",17,2,0
"1044",17,3,0
"1045",17,4,0
"1046",17,5,0.755533040567329
"1047",17,6,1.96365983669886
"1048",17,7,0
"1049",17,8,1.16735966713607
"1050",17,9,0
"1051",17,10,4.11344745559774
"1052",17,11,0
"1053",17,12,0
"1054",17,13,0
"1055",17,14,0
"1056",17,15,0
"1057",17,16,0
"1058",17,17,0
"1059",17,18,0
"1060",17,19,0
"1061",17,20,0
"1062",17,21,0
"1063",17,22,0
"1064",17,23,0
"1065",17,24,0
"1066",17,25,0
"1067",17,26,0
"1068",17,27,0
"1069",17,28,0
"1070",17,29,0
"1071",17,30,0
"1072",17,31,0
"1073",17,32,0
"1074",17,33,0
"1075",17,34,0
"1076",17,35,0
"1077",17,36,0
"1078",17,37,0
"1079",17,38,0
"1080",17,39,0
